Pair,λ1 %,λ2 %,ADF p-value
SOL–LINK,99.88,0.12,0.00118
AVAX–ARB,100.0,0.0,0.01011
SOL–AVAX,99.12,0.88,0.01074
NEAR–ARB,99.92,0.08,0.02894
NEAR–OP,99.45,0.55,0.02976
BTC–AAVE,100.0,0.0,0.03007
SOL–ARB,100.0,0.0,0.03275
BTC–ARB,100.0,0.0,0.03853
BTC–NEAR,100.0,0.0,0.04064
SOL–LDO,99.99,0.01,0.04563
BTC–OP,100.0,0.0,0.04594
SOL–NEAR,99.97,0.03,0.0633
AVAX–LINK,97.32,2.68,0.06835
ARB–LINK,99.97,0.03,0.08994
BTC–AVAX,100.0,0.0,0.11591
SOL–AAVE,92.05,7.95,0.14041
NEAR–LDO,97.03,2.97,0.15191
OP–LDO,94.74,5.26,0.15908
NEAR–LINK,98.98,1.02,0.1633
ARB–LDO,97.76,2.24,0.18494
SOL–OP,99.99,0.01,0.19513
NEAR–AAVE,99.98,0.02,0.21022
AVAX–NEAR,99.9,0.1,0.21848
ETH–BTC,99.85,0.15,0.24768
BTC–LDO,100.0,0.0,0.27396
SOL–BTC,100.0,0.0,0.29255
OP–AAVE,100.0,0.0,0.2931
AVAX–OP,99.96,0.04,0.30879
BTC–LINK,100.0,0.0,0.31172
LDO–LINK,99.77,0.23,0.31452
AVAX–AAVE,99.34,0.66,0.32076
ARB–AAVE,100.0,0.0,0.32209
OP–LINK,99.7,0.3,0.32897
SOL–ETH,99.88,0.12,0.35835
AVAX–LDO,99.88,0.12,0.40174
LINK–AAVE,99.81,0.19,0.50001
OP–ARB,99.02,0.98,0.53429
ETH–AAVE,99.86,0.14,0.59268
LDO–AAVE,100.0,0.0,0.62231
ETH–LINK,100.0,0.0,0.69007
ETH–AVAX,99.99,0.01,0.70269
ETH–NEAR,100.0,0.0,0.76396
ETH–OP,100.0,0.0,0.80854
ETH–ARB,100.0,0.0,0.82371
ETH–LDO,100.0,0.0,0.86708
